image_name,image_id,bbox,object,score
./aesop/data/images/0946/panel_0.jpg,0946_0,"[518.0260009765625, 30.21845054626465, 655.0294799804688, 189.49876403808594]",window,0.95
./aesop/data/images/0946/panel_0.jpg,0946_0,"[73.83732604980469, 193.9435577392578, 158.90744018554688, 346.390625]",television,0.93
./aesop/data/images/0946/panel_0.jpg,0946_0,"[94.00547790527344, 199.58230590820312, 146.3444366455078, 300.4324951171875]",television,0.89
./aesop/data/images/0946/panel_0.jpg,0946_0,"[57.29547882080078, 22.804994583129883, 545.926513671875, 303.0688171386719]",wall,0.87
./aesop/data/images/0946/panel_0.jpg,0946_0,"[0.0, 4.343220233917236, 315.2392883300781, 332.555419921875]",wall,0.78
./aesop/data/images/0946/panel_0.jpg,0946_0,"[470.9568786621094, 1.8597381114959717, 692.5960083007812, 229.33094787597656]",window,0.64
./aesop/data/images/0946/panel_0.jpg,0946_0,"[255.19984436035156, 0.0, 700.0, 311.03076171875]",wall,0.53
./aesop/data/images/0946/panel_0.jpg,0946_0,"[90.4541015625, 55.98445510864258, 201.26513671875, 133.1118621826172]",picture,0.48
./aesop/data/images/0946/panel_0.jpg,0946_0,"[94.92195892333984, 63.88261032104492, 191.0205078125, 139.98883056640625]",painting,0.47
./aesop/data/images/0946/panel_0.jpg,0946_0,"[2.6954965591430664, 0.0, 428.7462158203125, 189.8743133544922]",wall,0.44
./aesop/data/images/0946/panel_1.jpg,0946_1,"[518.2020263671875, 29.985580444335938, 655.568359375, 187.60508728027344]",window,0.93
./aesop/data/images/0946/panel_1.jpg,0946_1,"[0.0, 36.970149993896484, 472.10150146484375, 327.4582214355469]",wall,0.85
./aesop/data/images/0946/panel_1.jpg,0946_1,"[0.0, 9.950509071350098, 266.8154602050781, 291.5785827636719]",wall,0.85
./aesop/data/images/0946/panel_1.jpg,0946_1,"[103.8630142211914, 200.75579833984375, 159.3968963623047, 300.87841796875]",television,0.79
./aesop/data/images/0946/panel_1.jpg,0946_1,"[229.99131774902344, 93.62609100341797, 279.29571533203125, 149.57101440429688]",head,0.69
./aesop/data/images/0946/panel_1.jpg,0946_1,"[470.8208923339844, 2.27048397064209, 692.7050170898438, 227.1201629638672]",window,0.61
